Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-525.8284	-554.5984	28.76997	0.2303577	0.7836171	3.828546
6	-524.0437	-552.9283	28.88458	0.3198096	0.8042979	3.622702
12	-530.6974	-561.347	30.6496	0.655612	1.33321	1.851216
18	-527.2548	-557.6998	30.44501	0.5553016	1.622142	1.892655
24	-525.6623	-557.6447	31.98234	0.2767121	1.622142	1.135081
30	-527.861	-559.3343	31.47333	0.4037721	1.59837	1.351582
36	-528.8762	-560.0131	31.13688	0.6344792	1.012787	1.755955
42	-526.8255	-558.9355	32.10996	0.1846229	1.127751	1.624964
48	-527.1894	-558.6595	31.47009	0.1330381	1.361497	2.026323
54	-522.9359	-553.2272	30.29136	0.05313525	0.710786	3.370267
60	-524.8512	-555.4142	30.56302	0.1818644	0.8661688	2.806849
66	-531.5501	-559.2006	27.65047	0.5858499	0.7124825	4.109381
72	-531.7167	-560.0759	28.35919	0.3145625	0.4941715	4.109381
78	-520.4177	-549.1711	28.75343	0.221135	0.6834313	3.9103
84	-523.6633	-552.2566	28.59324	0.1794387	0.9682771	3.9103
90	-524.5741	-554.123	29.54893	0.1990755	0.5892134	3.542263
96	-527.1904	-558.6436	31.45323	0.09394915	1.017231	2.362246
102	-524.7816	-555.1479	30.36631	0.2639794	1.034905	2.682603
108	-523.6057	-554.2896	30.68387	0.2639794	0.9812676	2.519225
114	-521.0293	-550.33	29.30068	0.300566	0.9728458	3.306683
120	-520.7456	-551.1152	30.36961	0.1062629	1.159761	2.911134
126	-522.2733	-552.4919	30.21867	0.1863494	1.289598	2.750062
132	-519.643	-549.2251	29.58212	0.4245077	1.003706	2.968365
138	-518.0495	-548.2626	30.2131	0.5062312	1.029836	2.478526
144	-525.4066	-555.981	30.57441	0.3981798	1.403342	2.131776
150	-532.0037	-562.532	30.52828	0.3981798	1.44947	2.131776
156	-526.2619	-557.0662	30.80429	0.3639757	1.84837	1.721512
162	-530.8095	-562.7709	31.96135	0.3833725	1.540985	1.010942
168	-524.1771	-556.3472	32.17014	0.3046782	1.500283	1.010942
174	-524.0473	-554.6901	30.64281	0.4724772	1.421072	1.985481
180	-523.7556	-554.2839	30.52832	0.2709099	1.231219	2.449253
186	-528.3039	-559.4805	31.17655	0.4005269	1.701799	1.505195
192	-528.2242	-559.4113	31.18704	0.6751009	2.111822	0.6772729
198	-526.7937	-558.4025	31.60889	0.3465368	2.260939	0.3946816
204	-528.8733	-560.8622	31.98889	0.2505015	1.995427	0.8089625
210	-530.8234	-562.2738	31.45036	0.4824702	1.875495	1.006056
216	-530.2299	-561.9638	31.73395	0.300203	1.879786	1.075357
222	-532.572	-563.7852	31.21318	0.278138	1.504239	1.810246
228	-535.5253	-567.0397	31.51441	0.4386284	1.868092	1.025865
234	-534.203	-561.5635	27.36053	0.4023408	0.9650905	4.305277
240	-538.358	-566.5496	28.19165	0.3995343	1.272519	3.657119
246	-534.7614	-563.4112	28.6498	0.381325	0.9204919	3.616283
252	-534.3607	-562.4413	28.08061	0.4101083	0.7746044	3.995767
